,name,show,description,homepage,resource,category,projectrank,github_id,pypi_id,conda_id,github_url,license,created_at,updated_at,last_commit_pushed_at,fork_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,github_release_downloads,monthly_downloads,release_count,dependent_project_count,github_dependent_project_count,contributor_count,pypi_url,pypi_monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,projectrank_placing,dockerhub_id,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,trending,updated_github_id,commit_count,npm_id,npm_url,npm_monthly_downloads,cran_id,go_id,gem_id,hex_id,pypi,bitbucket_id
81,DockerSpawner,True,Spawns JupyterHub single user servers in Docker containers.,https://github.com/jupyterhub/dockerspawner,,hub-spawners,20,jupyterhub/dockerspawner,dockerspawner,conda-forge/dockerspawner,https://github.com/jupyterhub/dockerspawner,BSD-3-Clause,2014-09-26 20:08:26.000,2024-02-13 09:36:38.000000,2024-02-01 09:28:10,293.0,23.0,252.0,474.0,,,,19368.0,5.0,186.0,186.0,69.0,https://pypi.org/project/dockerspawner,18719.0,https://anaconda.org/conda-forge/dockerspawner,2023-11-21 14:56:25.623,21435.0,1.0,,,,,,,,,,,,,,,,,
82,JupyterLab Templates,True,Support for jupyter notebook templates in jupyterlab.,https://github.com/finos/jupyterlab_templates,,lab-extensions,20,jpmorganchase/jupyterlab_templates,jupyterlab_templates,,https://github.com/finos/jupyterlab_templates,Apache-2.0,2018-03-17 21:38:11.000,2024-03-27 01:22:53.000000,2024-03-27 01:22:52,65.0,9.0,84.0,378.0,2024-03-26 21:18:11,0.5.2,,18601.0,18.0,8.0,8.0,21.0,https://pypi.org/project/jupyterlab_templates,15827.0,,,,1.0,,,,,,,finos/jupyterlab_templates,,jupyterlab_templates,https://www.npmjs.com/package/jupyterlab_templates,2774.0,,,,,,
83,vega,True,IPython/Jupyter notebook module for Vega and Vega-Lite.,https://github.com/vega/ipyvega,,widgets,20,vega/ipyvega,vega,conda-forge/vega,https://github.com/vega/ipyvega,BSD-3-Clause,2015-08-04 03:22:47.000,2024-05-01 02:15:11.000000,2024-05-01 02:14:09,62.0,11.0,91.0,370.0,2023-07-18 13:09:18,4.0.0,,22906.0,28.0,4.0,4.0,15.0,https://pypi.org/project/vega,16714.0,https://anaconda.org/conda-forge/vega,2023-06-16 13:18:03.216,588291.0,3.0,,,,,,,,660.0,,,,,,,,,
84,jupyter-server-proxy,True,Jupyter notebook server extension to proxy web services.,https://github.com/jupyterhub/jupyter-server-proxy,,jupyter-extensions,20,jupyterhub/jupyter-server-proxy,jupyter-server-proxy,conda-forge/jupyter-server-proxy,https://github.com/jupyterhub/jupyter-server-proxy,BSD-3-Clause,2016-10-18 22:02:06.000,2024-04-30 17:05:19.000000,2024-04-27 10:29:48,136.0,66.0,133.0,330.0,2018-12-10 14:39:58,0.8.8,,227439.0,21.0,4.0,4.0,71.0,https://pypi.org/project/jupyter-server-proxy,196400.0,https://anaconda.org/conda-forge/jupyter-server-proxy,2024-03-19 21:18:29.998,1489903.0,2.0,,,,,,,,,,,,,,,,,
85,jupyter-console,True,Jupyter Terminal Console.,https://github.com/jupyter/jupyter_console,,others,20,jupyter/jupyter_console,jupyter-console,,https://github.com/jupyter/jupyter_console,BSD-3-Clause,2015-04-09 06:58:55.000,2023-09-13 20:27:19.000000,2023-03-06 14:13:15,145.0,62.0,94.0,244.0,2023-03-06 14:13:35,6.6.3,392.0,4694368.0,10.0,,,60.0,https://pypi.org/project/jupyter-console,4694353.0,,,,3.0,,,,,,,,,,,,,,,,,
86,BatchSpawner,True,Custom Spawner for Jupyterhub to start servers in batch scheduled..,https://github.com/jupyterhub/batchspawner,,hub-spawners,20,jupyterhub/batchspawner,batchspawner,,https://github.com/jupyterhub/batchspawner,BSD-3-Clause,2015-10-27 03:53:10.000,2024-05-07 05:39:13.000000,2024-05-07 05:39:12,123.0,54.0,90.0,180.0,2024-03-19 06:32:27,1.3.0,,6846.0,11.0,34.0,34.0,49.0,https://pypi.org/project/batchspawner,6846.0,,,,1.0,,,,,,,,,,,,,,,,,
87,ipylab,True,Control JupyterLab from Python Notebooks with Jupyter Widgets.,https://github.com/jtpio/ipylab,,lab-extensions,20,jtpio/ipylab,ipylab,conda-forge/ipylab,https://github.com/jtpio/ipylab,BSD-3-Clause,2019-11-15 19:52:12.000,2024-04-06 06:39:52.000000,2023-10-09 07:01:31,13.0,25.0,22.0,180.0,2023-08-11 05:48:03,1.0.0,133.0,129588.0,15.0,114.0,114.0,7.0,https://pypi.org/project/ipylab,128836.0,https://anaconda.org/conda-forge/ipylab,2023-08-11 12:01:52.980,30018.0,1.0,,,,,,,,,,,,,,,,,
88,jdaviz,True,JWST astronomical data analysis tools in the Jupyter platform.,https://github.com/spacetelescope/jdaviz,,widgets,20,spacetelescope/jdaviz,jdaviz,,https://github.com/spacetelescope/jdaviz,BSD-3-Clause,2019-05-07 17:54:06.000,2024-05-16 13:54:35.000000,2024-05-14 20:26:28,60.0,323.0,668.0,124.0,2024-05-14 20:06:40,3.10.1,,1843.0,37.0,43.0,43.0,32.0,https://pypi.org/project/jdaviz,1843.0,,,,3.0,,,,,,,,,,,,,,,,,
89,Native Authenticator,True,JupyterHub-native user authenticator.,https://github.com/jupyterhub/nativeauthenticator,,hub-auth,20,jupyterhub/nativeauthenticator,jupyterhub-nativeauthenticator,,https://github.com/jupyterhub/nativeauthenticator,BSD-3-Clause,2018-12-03 17:38:18.000,2024-05-07 05:41:45.000000,2024-05-07 05:41:44,62.0,33.0,73.0,70.0,2021-10-19 17:24:48,1.0.5,,10535.0,3.0,79.0,79.0,22.0,https://pypi.org/project/jupyterhub-nativeauthenticator,10535.0,,,,2.0,,,,,,,,,,,,,,,,,
90,ipydatawidgets,True,A set of widgets to help facilitate reuse of large datasets..,https://github.com/vidartf/ipydatawidgets,,widgets,20,vidartf/ipydatawidgets,ipydatawidgets,conda-forge/ipydatawidgets,https://github.com/vidartf/ipydatawidgets,,2017-07-31 17:37:26.000,2023-06-16 16:11:33.197000,2023-06-14 12:39:14,9.0,5.0,10.0,40.0,2023-06-14 12:41:06,4.3.5,,84825.0,8.0,1129.0,1129.0,5.0,https://pypi.org/project/ipydatawidgets,81045.0,https://anaconda.org/conda-forge/ipydatawidgets,2023-06-16 16:11:33.197,268387.0,3.0,,,,,,,,307.0,,,,,,,,,
91,Hydrogen,True,"Run code interactively, inspect data, and plot. All the power of Jupyter..",https://github.com/nteract/hydrogen,,notebook-environments,19,nteract/hydrogen,,,https://github.com/nteract/hydrogen,MIT,2015-05-11 01:16:55.000,2024-05-14 06:17:27.000000,2023-01-10 01:11:13,325.0,170.0,1103.0,3902.0,2023-01-10 01:02:49,2.16.5,,,92.0,,,90.0,,,,,,3.0,,,,,,,,2371.0,,,,,,,,,
92,ipyparallel,True,Interactive Parallel Computing in Python.,https://github.com/ipython/ipyparallel,,notebook-tools,19,ipython/ipyparallel,ipyparallel,conda-forge/ipyparallel,https://github.com/ipython/ipyparallel,,2015-04-09 07:43:55.000,2024-05-06 22:09:13.000000,2024-04-05 11:33:33,973.0,56.0,300.0,2555.0,,,,511461.0,30.0,,,113.0,https://pypi.org/project/ipyparallel,488071.0,https://anaconda.org/conda-forge/ipyparallel,2024-04-05 13:21:22.787,1005784.0,3.0,,,,,,,,,,,,,,,,,
93,colabcode,True,Run VSCode (codeserver) on Google Colab or Kaggle Notebooks.,https://github.com/abhishekkrthakur/colabcode,,others,19,abhishekkrthakur/colabcode,colabcode,,https://github.com/abhishekkrthakur/colabcode,MIT,2020-09-09 10:06:26.000,2023-05-31 15:54:53.000000,2021-06-11 15:16:36,262.0,44.0,33.0,2032.0,,,,4323.0,,183.0,183.0,8.0,https://pypi.org/project/colabcode,4323.0,,,,3.0,,,,,,,,44.0,,,,,,,,,
94,VSCode Jupyter,True,VS Code Jupyter extension.,https://github.com/microsoft/vscode-jupyter,,notebook-environments,19,microsoft/vscode-jupyter,,,https://github.com/microsoft/vscode-jupyter,MIT,2020-09-10 23:39:14.000,2024-05-09 20:46:24.000000,2024-05-08 14:57:32,265.0,369.0,9422.0,1227.0,2024-04-30 22:17:16,2024.4.0,33.0,0.0,35.0,3.0,3.0,270.0,,,,,,3.0,,,,,,,,,,,,,,,,,
95,What-If Tool,True,Source code/webpage/demos for the What-If Tool.,https://github.com/PAIR-code/what-if-tool,,widgets,19,PAIR-code/what-if-tool,witwidget,,https://github.com/PAIR-code/what-if-tool,Apache-2.0,2018-09-07 20:26:10.000,2024-03-14 21:28:06.000000,2024-02-01 21:38:56,162.0,67.0,56.0,887.0,2021-10-12 17:36:36,1.8.1,,6530.0,3.0,2.0,2.0,20.0,https://pypi.org/project/witwidget,5290.0,,,,3.0,,,,,,,,330.0,wit-widget,https://www.npmjs.com/package/wit-widget,1240.0,,,,,,
96,notedown,True,Markdown = IPython Notebook.,https://github.com/aaren/notedown,,notebook-sharing,19,aaren/notedown,notedown,conda-forge/notedown,https://github.com/aaren/notedown,BSD-2-Clause,2014-02-17 17:28:59.000,2023-06-16 16:08:46.317000,2017-11-16 19:29:56,93.0,40.0,29.0,852.0,,,,4361.0,1.0,261.0,261.0,7.0,https://pypi.org/project/notedown,3859.0,https://anaconda.org/conda-forge/notedown,2023-06-16 16:08:46.317,35648.0,3.0,,,,,,,,264.0,,,,,,,,,
97,Stencila,True,Living documents for reproducible research.,https://github.com/stencila/stencila,,notebook-sharing,19,stencila/stencila,,,https://github.com/stencila/stencila,Apache-2.0,2012-05-31 02:43:31.000,2024-05-16 13:47:08.000000,2024-05-16 05:25:48,42.0,103.0,631.0,768.0,2024-03-06 01:58:19,2.0.0-alpha.25,4423.0,410.0,100.0,20.0,20.0,46.0,,,,,,3.0,stencila/cloud,https://hub.docker.com/r/stencila/cloud,2019-04-08 04:14:51.284193,,16469.0,-4.0,,,stencila,https://www.npmjs.com/package/stencila,158.0,,,,,,
